Director,15.03.2017,28.03.2017,28.06.2017,30.08.2017,10.10.2017,28.11.2017,1.12.2017
Charles Chapman,√,√,√,√,√,√,√
Stuart David Michael Grylls,√,√,X,X,X,X,X
Patrick Bitature,A,A,√,A,A,√,√
Samuel Zimbe,√,√,√,√,A,√,√
Selestino Babungi,√,√,√,√,√,√,√
Anthony Marsh,N/A,N/A,N/A,A,√,A,A
Andrew Buglass,N/A,N/A,N/A,√,√,√,√
Christopher Nicholson,N/A,N/A,N/A,√,√,√,A
Florence Namatta Mawejje,N/A,N/A,N/A,√,√,A,A
