PROJECT,IMPACT
Hoima - Kinyara,"The new interconnector is allowing for increased evacuation
of 5MVA power from Kinyara sugar works (IPP) to Hoima
substation, this has provided alternative source of supply to
augement the existing supply line from UETCL hence increasing
security of supply to Hoima city service area"
Ntinda Zonal reliability Plan,"The scope included repacement of rotten poles (225),
replacement of poor conductors, construction of links to mesh
feeeders and installation of 17 Motorised Air Break Switches
in this zonal area [Naguru, Nakawa, Mbuya, Ntinda, Kisasi,
Kulambiro, Kiwatule, etc]
Impact: Supply reliability and security improved as a result of
the improved operational flexibility due to the installation of
the Motorised Air Break Switches which ease load transfers
between feeders and substations"
Kiruddu Referral Hospital,"The scope was installation of U/G cable R/L 5.2km and 3-Way
11kV RMU, below is the impact.
1). Dedicated line has improved reliability
2). The project created alternative supply from Salama 11kV
feeder incase dedicated line is out"
Proposed Power Supply to Laroo Forest Ward,"The project has enabled the community to add value on the
maize which is produced locally through milling and packaging
processes"
Atopi Village Power Supply,"WIP (2023 investment). The project will aid in increasing access
to electricity (50 households are estimated to benefit)"
Kiira EV,"The scope was installation of 4-Way 33kV RMU, below is the
impact.
1). Reduced down time, operation was automated
2). The switching station created 3 feeders and one feeder is
deicated to Kiira EV, this improved reliability"
