Column,22.03.2022,28.06.2022,16.08.2022,Column
Patrick Bitature,√,√,√,√
"Hon. Gerald
Ssendaula",√,√,√,√
√ Attendance | A Apology | N/A Not yet appointed | √*AD Attendance by Alternate | *X Resigned,,,,
