2012,Column,Column,Column,2011,Column
,"13,384",,"13,384",,
,"1,338,386,616",,-,,
,"1,338,400,000",,,13,",384"
,"461,600,000",,,,-
"1,80",,"0,000,000",1,"3,",384
,,"13,384",13,,",384"
"1,338,386,616",,,,,-
"1,338,400,000",,,"13,384",,
"285,478,005",,,-,,
"1,623,878,005",,,"13,384",,
