Column,Note,2011,2010
,,Ushs’000,Ushs’000
Shareholder’s loan,19,"70,962,718","73,619,913"
IFC loan,20,"57,248,789","36,621,956"
Concession obligation,21,"170,534,631","185,147,206"
Trade and other payables,24,"117,727,791","101,195,639"
Less: Cash and cash equivalents,17,"(49,732,327)","(54,810,419)"
Net debt,,"366,741,602","341,774,295"
