Column,Minimum Rental,Present Value
,Payments,of Payments
,Ushs’000,Ushs’000
"As at 31 December
2011:",,
After one year,"28,566,899","15,531,107"
"After one year but not
more than five years","78,198,532","34,840,563"
After five years,"63,769,200","17,173,737"
,"170,534,631","67,545,407"
"Less: Amounts representing
finance charges","(102,989,224)",-
"P resent value of minimum
rental payments","67,545,407","67,545,407"
"As at 31 December
2010:",,
"After one year but not
more than five years","92,579,653","48,707,394"
After five years,"67,601,418","16,173,142"
,"185,147,206","80,676,891"
"Less: Amounts representing
finance charges","(104,470,315)",-
"Present value of minimum
rental payments","80,676,891","80,676,891"
