"Number of
Shareholders","Number of
shares held","Percentage
shareholding"
708,"137,214",0.01%
"2,916","5,378,659",0.33%
605,"4,737,442",0.29%
"1,018","30,181,618",1.86%
381,"100,426,866",6.18%
98,"1,483,016,206",91.33%
"5,726","1,623,878,005",100.00%
