Project,Capacity (MW),Status
Olkaria V,165,Project development
Olkaria VI,140,Feasibility
Ngong I Phase 3,11,Project development
Olkaria I AU Uprating,20,Project development
Olkaria IV Uprating,20,Project development
Olkaria I Unit 6,86,Project Structuring
Seven-Forks Solar,42.5,Project financing
Olkaria I Rehab,6.7,Project development
,140,
Eburru,27,Feasibility
,80,
