Column,2023,2022,% Change
,Shs’000,Shs’000,
Reimbursable expenses,"8,121","9,753",-16.7
Depreciation,"15,800","12,462",+26.8
Employee expenses,"9,206","8,247",+11.6
Plant operation and maintenance costs,"2,980","3,151",-5.4
Steam costs,"3,731","3,093",+20.6
Other expenses,"7,068","4,343",+62.7
Total,"46,906","41,049",
