PERFORMANCE CRITERIA,HIGHLIGHT
"Financial Stewardship and
Fiscal Discipline","• 132.0% absorption (Kshs. 47.52 Billions) of internally mobilized funds.
• Externally generated funds of Kshs. 5.89 Billions (53.4%) absorbed.
• Appropriations-in-aid of Kshs. 76.56 Millions from disposal of plant
station scrap.
• The company met its financial obligations, by settling all pending bills."
Service Delivery,"• Re-engineered and digitalized business processes and onboarded them
on the e-citizen portal.
• Initiatives for Citizens’ Service Delivery Charter implemented as
committed.
• No major public complaint received."
Core Mandate,"• All generation modes were above target due to better hydrology and
dispatch.
• Olkaria I Rehabilitation, 7-Forks Solar, Gogo Upgrade and Wellhead
Leasing projects progressed well; Olkaria 280MW Uprating and Olkaria II
140MW projects discontinued.
• Surpassed Pre-tax profit and Return on Investment targets.
• Progressed Geothermal Training Centre and Raising of Masinga dam
projects."
"Implementation of
Presidential Directives","• Government services on-boarded on eCitizen platform.
• 886,901 seedlings planted, exceeding the National Tree Growing
Restoration Campaign target of 830,000"
"Affirmative Action in
Procurement","• AGPO awards of Kshs. 2.23 Billions, 87% of a Kshs. 2.57 Billions target;
Persons with Disability awarded Kshs. 0.27 Billions.
• Local content tenders of Kshs. 10.01 Billions, 69% of the Kshs. 14.53
Billions target."
Cross-Cutting Initiatives,"• Engaged 1,076 attaches (4 as PWD)
• Asset management and Competence Development initiatives
implemented.
• 100% score received for implementation of National Values indicator"
