Capitalization Table,30 June 2023,30 June 2022
,Shs’000,Shs’000
Equity attributable to shareholders,"274,193","274,597"
Current debt,"12,810","11,917"
Non-current debt,"137,042","122,216"
Total debt,"149,852","134,133"
Total capitalization,"424,045","408,730"
