"Change in
currency
rate","Effect on
Profit
before tax","Effect on
Equity"
,Shs’ 000,Shs’ 000
-7.8%,"(1,115,904)","(2,603,775)"
-16.8%,"(2,544,425)","(5,936,991)"
-9.2%,"(391,886)","(914,401)"
,"(4,052,215)","(9,455,167)"
19.3%,"3,347,955","7,811,896"
12.4%,"2,320,657","5,414,867"
23.4%,"1,728,544","4,033,268"
-,"7,397,156","17,260,031"
