No.,Name,Attendance
1.,Ms. Winnie Pertet– Chair,4
2.,Mr. Stephen Njue - Alternate Director to PS-State Department of Energy,9
3.,Mr. James Opindi,11
4.,Mr. William Rahedi,5
5.,Mr. Abraham Serem,10
