"2024
Shs’000","2023
Shs’000"
"41,252,372
6,875,964
7,923,700
166,593
78,593","38,783,964
6,129,269
8,165,345
125,892
759,207"
"56,297,222","53,963,677"
"(7,836,831)
(166,593)","(7,995,258)
(125,892)"
"(8,003,424)","(8,121,150)"
"48,293,798
1,296,534
(722,117)
48,868,215","45,842,527
2,083,709
428,317
48,354,553"
"(15,707,703)
(10,376,066)
(4,393,595)
(3,667,517)
(5,739,660)
567,366
9,551,040","(15,800,445)
(9,206,178)
(3,731,112)
(2,979,740)
(7,067,800)
(1,162)
9,568,116"
"4,201,745
(2,805,920)
10,946,865","1,688,805
(2,732,105)
8,524,816"
"(4,149,853)
6,797,012","(3,508,339)
5,016,477"
1.03,0.76
