"Membership
The Committee comprises of four (4) independent & non-executive Directors, and one (1) executive
Director.
Attendance",Column,Column
No.,NAME,ATTENDANCE
1.,Hon. Rehema Hassan (Chair),2
2.,Eng. Frank Konuche,4
3.,Ms. Josephine Koisaba,4
4.,CPA Bernard Ngugi,4
5.,Eng. Peter Njenga,4
