CDM Projects,MW,"Total CERs
Isssued","Date of
Issuance"
Kiambere,20+,"160,160.00",26-Mar-20
Tana,19.6,"57,458.00",13-Mar-20
5.1MW Ngong,5.1,"23,868.00",12-Jun-20
35 MW Olkaria II,35,"309,495.00",16-Jun-21
"*Olkaria I Unit 4 & 5 Geothermal
Project",140,"2,040,515.00",17-Aug-21
*Olkaria IV Geothermal Project,140,"2,025,813.00",27-Aug-21
