Column,96.491,53.869,96.097,33.258,Column,-
,95.002,"56.800,1",29.338,16.598,,-
,53.742,"31.331,1",05.138,"17.131,1",,71.6
,00.652,"04.831,1",07.258,"07.131,1",,77.6
,41.582,"68.860,1",93.697,"00.590,1",,22.01
,71.892,"66.511,1",50.838,"22.341,1",,92.11
,90.192,87.489,33.385,"88.500,1",43.549,52.7
,04.303,"27.820,1",31.516,"73.350,1",73.779,90.8
,21.07,69.068,55.994,02.069,"17.762,1",47.7
,12.47,95.109,78.825,"30.700,1","89.413,1",86.8
LAMREHTOEG,"I
airaklO","UA
I
airaklO","II
airaklO","VI
airaklO","V
airaklO",urrubE
