No.,CDM Project,Available CERs
1,Olkaria II,"292,616"
2,Tana,"79,982"
3,Kiambere,"184,482"
4,Olkaria IV,"1,985,297"
5,Olkaria IAU,"1,999,705"
6,Ngong,"35,966"
,Total,"4,578,048"
