"Membership
The committee is led by an Independent Director, while the membership comprises of three (3)
Independent & Non-Executive Directors and one (1) Non-Executive Director.
Attendance",Column,Column
No.,NAME,ATTENDANCE
1.,CPA Bernard Ngugi (Chair),6
2.,"Mr. Kennedy Ondieki (Alternate Director to the CS The
National Treasury)",6
3.,Hon. Stephen Mutai,6
4.,Ms. Josephine Koisaba,6
5.,Mr. Umuro Wario,6
