Projects Pipeline,Column,Column,Column
,Project,"Capacity
(MW)","Commissioning
Date"
1,Olkaria 1 Rehabilitation,60,2024
,Olkaria IAU & IV Turbine Uprating,40,
3,Seven Forks Solar PV Power Plant,42.5,2025
,Olkaria VI,140,
5,Gogo Power Station Upgrade,8.6,2025
6,"LNG Plant &
Conversion of Kipevu III",200,
7,Raising Masinga Dam,"83 GWh
energy stored",2024
,Olkaria I Unit 6,86.3,
9,Olkaria VII,140,2027
,"Floating Solar
Pre- Feasibility Study",40,
11,"Battery Energy Storage System
(BESS)",250,2025
