Name,Category,Salary,"Directors
Fees","Sitting
Allowances",Honorarium,Telephone,Total
,,Shs'000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"Chairman,
Non-Executive",-,207,420,320,28,
,-,-,393,720,640,56,
,"Managing
Director & CEO","19,938",-,-,-,-,
,Non-Executive,-,600,-,-,-,
,Non-Executive,-,600,60,-,-,
,Non-Executive,-,207,460,-,-,
,Non-Executive,-,488,"1,280",-,-,
,Non-Executive,-,488,"1,220",-,-,
,Non-Executive,-,600,"1,100",-,-,
,Non-Executive,-,600,"1,240",-,-,
,Non-Executive,-,600,"1,020",-,-,
,Non-Executive,-,488,"1,140",-,-,
,Non-Executive,-,393,"1,020",-,-,
,Non-Executive,-,112,320,-,-,
,Non-Executive,-,112,360,-,-,
,Non-Executive,-,112,280,-,-,
,Non-Executive,-,-,"1,180",-,-,
,Non-Executive,-,-,"1,120",-,-,
,,"19,938","6,000","12,940",960,84,
