No.,Name,Attendance
1.,Hon. Stephen Mutai (Chair),7
2.,Ms. Josephine Koisaba,7
3.,Mr. James Opindi,7
4.,Dr. Rosemarie Wanyoike,7
5.,Mr. Abraham Serem,9
