"Geothermal Hydro Thermal Wind Total
Shs 000 Shs 000 Shs 000 Shs 000 Shs 000
13,818,875 7,690,607 3,648,389 - 25,157,871
6,664,535 1,387,746 192,027 381,011 8,625,319"
"20,483,410 9,078,353 3,840,416 381,011 33,783,190
5,549,684 - - - 5,549,684
- - 4,155,499 - 4,155,499
- 181,774 - - 181,774
440,344 - - - 440,344"
"26,473,438 9,260,127 7,995,915 381,011 44,110,491"
"26,473,438 9,260,127 7,995,915 381,011 44,110,491"
