"2022
Shs’000
20,780,695
(300,113)
1,176,203
(401,022)"
"21,255,763"
"(10,498,762)
(2,611,466)
(903,447)
(741,376)"
"(14,755,051)"
"1,688,919
(9,146,656)
131,949
(1,876,248)
(2,571,768)
(194,282)
3,274,468
1,547,812
478,343
98,099"
"(6,569,364)"
"(68,652)
13,859,284
215,279"
"14,005,911"
