NAME,NUMBER OF SHARES,% HOLDING
Mr. Julius Ogamba,-,
Eng. Peter Njenga,"1,748",
Dr. Rosemarie Wanyoike,"1,000",
Ms. Josephine Koisaba,-,
Hon. Stephen Mutai,"3,309",
Mr. William Rahedi,-,
Eng. Frank Konuche,"177,697",
Mr. Bernard Ngugi,-,
Mr. Umuro Wario,-,
Mr. Kennedy Ondieki,-,
Mr. Chrispin Lupe,-,
