"2,347,528
(13,557)","2,359,883
(12,355)"
"2,333,971","2,347,528"
"(23,717)","(24,486)"
"2,310,254","2,323,042"
"(24,486)
768","(23,808)
(678)"
"(23,717)","(24,486)"
