No.,ACTIVITIES,ACHIEVEMENTS
1.,"Social Risk
and Impact
Assessments and
Management","• Integrated social risk management into project planning in
compliance with NEMA and international safeguard standards for
Olkaria I Rehabilitation, Marsabit Wind Power, Raising Masinga, and
Nabuyole Falls projects.
• Conducted social baseline studies and stakeholder mappings for
proposed for Marsabit Wind Power, and Raising Masinga Dam
projects"
2.,"Land Acquisition,
Resettlement
and Livelihood
Restoration","• Developed and implemented Resettlement Action Plans (RAP) for
Gogo HPP Redevelopment and Power Evacuation Line.
• Developed a Resettlement Policy Framework (RPF) for Raising of
Masinga Dam
• Developed a Resettlement and Compensation Policy Framework
(RCPF) for the Company
• Sensitization of Project-Affected Persons (PAPs) on prudent use of
compensation money conducted for the Gogo HPP redevelopment
site
• Continued implementation of the Olkaria IV Resettlement Action
Plan (RAP), which included construction of cattle dip and paying
school fees for six students."
3.,"Stakeholder
Engagement
and Community
Participation","• Held stakeholder and community consultation forums with
participation from men, women, youth and persons with disability
for Marsabit Wind, Raising Masinga Dam and Gogo Hydro Power
Projects
• Strengthened Free, Prior and Informed Consent (FPIC) processes
for Indigenous Peoples for the proposed Marsabit Wind Power
Project.
• Produced project information disclosure materials for Marsabit
Wind Power Project"
4.,"Grievance
Redress
Mechanism
(GRM)","• Coordinated the formation of a resettlement grievance redress
committee for Gogo Hydro Power Project
• Worked with communities to address grievances across project
construction sites for Olkaria I Rehabilitation, Gogo Hydro Power
Plant, and Olkaria VII."
