Investor Pool,RECORD,Column,PERCENTAGE
Local Institutions,"7,903","5,102,214,686",77.37%
Local Individuals,"182,588","785,096,523",11.91%
Foreign Investors,934,"707,211,130",10.72%
Grand Totals,"191,425","6,594,522,339",100.00%
