No.,Finance Committee,Attendance
,Joseph Sitati – Chairperson,
2.,James Opindi,1
,"Stephen Njue (Alternate Director to PS
State Department for Energy)",
4.,"Bernard Ndungu (Alternate Director to CS
The National Treasury)",3
,Rebecca Miano,
