Column,"2022
KShs
Million","2021
KShs
Million",% Change
"Reimbursable expens-
es","9,753","4,160",134%
Depreciation,"12,462","11,520",8%
Employee expenses,"8,247","7,685",7%
"Plant operation and
maintenance costs","3,151","1,881",68%
Steam costs,"3,093","3,029",2%
Other expenses,"4,344","2,822",54%
Total,"41,050","31,097",32%
