Assets,Column,Column,Column,Column,Column
"Cash and balances
with banks","29,317,145",-,-,"29,317,145","29,317,145"
Restricted cash,"3,169,124",-,-,"3,169,124","3,169,124"
"Financial assets at
amortized cost",-,-,"1,823,414","1,823,414","1,823,414"
Trade receivables,-,-,"16,646,382","16,646,382","16,646,382"
"Financial assets at
amortized cost
-Treasury bond",-,"2,310,254",-,"2,310,254","2,310,254"
Other receivables,-,-,"2,340,298","2,340,298","2,340,298"
Total,"32,486,269","2,310,254","20,810,094","55,606,617","55,606,617"
Liabilities,,,,,
"Trade and other
payables",-,-,"6,325,916","6,325,916","6,325,916"
Borrowings,-,-,"121,197,411","121,197,411","121,197,411"
Total,-,-,"127,523,327","127,523,327","127,523,327"
