Financial Covenant,Threshold,Current,Compliance
Current ratio,>1.2,1.31,Yes
Leverage ratio,<2.3,0.66,Yes
DSCR,>1.3,1.96,Yes
Self-Financing Ratio,>25%,81%,Yes
