NAME,ATTENDANCE
Mr. Julius Ogamba,14
Eng. Peter Njenga,14
Mr. William Rahedi,14
Hon. Stephen Mutai,14
Dr. Rosemarie Wanyoike,14
Ms. Josphine Koisaba,14
Mr. Frank Konuche,5
Mr. Bernard Ngugi,5
Mr. Umuro Wario,5
Mr. Kennedy Ondieki,1
Mr. Chrispin Lupe,1
