Name,"Category & Period
of Service",Salary,"Directors’
Fees","Sitting
Allowances",Honorarium,Telephone,Total
,,Shs’000,Shs’000,Shs’000,Shs ‘000,Shs ‘000,
Hon. Alfred Agoi,"Chairman
(Appointed Board
Chairman on 5
December 2024)",-,500,"1,500",560,49,"2,609"
,"Chairman (retired
8 August 2024)",-,100,100,160,14,
"Hon. CPA John
Mbadi","Non-Executive
(Cabinet
Secretary:
National Treasury)",-,600,-,-,-,600
,"Non-Executive
(Principal
Secretary, Ministry
of Energy)",-,600,120,-,-,
Josephine Koisaba,Non-Executive,-,600,"1,800",-,-,"2,400"
,Non-Executive,-,600,"1,160",-,-,
"Hon. Mutai Stephen
Kipkoech",Non-Executive,-,600,"1,416",-,,"2,016"
"Dr. Rosemarie
Wairimu Wanyoike","Non-Executive
(Served until 28
November 2024)",-,250,800,-,-,"1,050"
,"Non-Executive-
(Appointed by the
Board of Directors
on 28 October as
the Chairman of
the Board until the
2024 AGM)",-,600,"1,740",80,7,
Bernard Ngugi,Non-Executive,-,600,"1,740",-,-,"2,340"
,Non-Executive,-,600,"1,560",-,-,
Rehema Hassan,"Non-Executive
(Elected on the 28
November 2024)",-,350,"1,020",,,"1,370"
,"Alternate to CS
National Treasury
& Planning",-,-,"1,000",-,-,
Chrispin Lupe,"Alternate to PS
Ministry of Energy",-,,"1,280",,,"1,280"
,"Representative,
Inspectorate
of State
Corporations",-,-,"1,300",-,-,
Total,,-,"6,000","16,536",800,70,"23,406"
