Project,Location,Status
,Olkaria,"• Variation of license validity duration issued.
• Project construction in progress"
,Olkaria,"• Variation of license validity duration issued
• Contracting in progress"
,Olkaria,"• Variation of license validity duration issued (for additional
(cid:26)(cid:49)(cid:59)(cid:13)
• Preparation of tender documents"
,Olkaria,"• Preliminary ESIA conducted.
• Feasibility study ongoing, including noise spread & air quality
dispersion modelling"
,Ngong,• ESIA study in progress
,Kamburu,• Report under review by NEMA
,Meru,"• Bats and birds survey study conducted
• Resettlement Policy Framework developed
• (cid:41)(cid:55)(cid:45)(cid:37)(cid:3)(cid:69)(cid:82)(cid:72)(cid:3)(cid:54)(cid:37)(cid:52)(cid:3)(cid:87)(cid:88)(cid:89)(cid:72)(cid:77)(cid:73)(cid:87)(cid:3)(cid:69)(cid:91)(cid:69)(cid:77)(cid:88)(cid:77)(cid:82)(cid:75)(cid:3)(cid:189)(cid:82)(cid:69)(cid:80)(cid:77)(cid:94)(cid:69)(cid:88)(cid:77)(cid:83)(cid:82)(cid:3)(cid:83)(cid:74)(cid:3)(cid:80)(cid:69)(cid:82)(cid:72)(cid:3)(cid:69)(cid:71)(cid:85)(cid:89)(cid:77)(cid:87)(cid:77)(cid:88)(cid:77)(cid:83)(cid:82)(cid:18)"
