"27,892,048
(1,232,880)
3,957,555","34,278,056
(614,022)
3,181,275"
"30,616,723","36,845,309"
"(13,592,324)
(2,430,922)
(544,617)
(361,338)
(616,130)
(464,177)
721,330
311,796","(8,917,415)
(2,318,808)
(754,632)
(108,416)
-
(858,379)
396,828
8,988"
"(16,976,382)","(12,551,834)"
"5,922,033
(8,320,538)
(2,173,309)
(4,286,441)
(167,623)
(100,800)","1,620,282
(9,701,910)
(2,878,118)
(2,901,443)
(120,091)
(155,794)"
"(9,126,678)","(14,137,074)"
"4,513,663","10,156,401"
"25,618,247
(7,724)","15,474,003
(12,157)"
"30,124,186","25,618,247"
