Column,Name,Attendance
1.,Mr. Joseph Sitati - Chairman,9
2.,"Mr. Humphrey Muhu (Alternate
Director to CS, National Treasury)",7
3.,Mrs. Phyllis Wakiaga,5
4.,Mrs. Ziporah Ndegwa,8
5.,Mr. Kairu Bachia,8
