"2022
Shs’000
44,870
2,072,598
(1,176,203)
(847,924)"
"93,341"
"1,046,256
1,960,420
(1,876,247)"
"1,130,429"
"2022
Shs’000
13,728,154
(11,916,546)
(122,216,146)"
"(120,404.538)"
