"Membership
The Finance & Investment Committee comprises of two (2) independent & non-executive Directors,
two (2) Non-Executive Directors and one (1) Executive Director.
Attendance",Column,Column
No.,NAME,ATTENDANCE
1.,Mr. William Rahedi (Chair),11
2.,"Mr. Kennedy Ondieki - Alternate Director to CS-
National Treasury",9
3.,"Mr. Chrispin Lupe - Alternate Director to PS-State
Department for Energy",11
4.,Eng. Frank Konuche,11
5.,Eng. Peter Njenga,11
