Our inputs,Our resource usage,Our contribution to economy,Our strength
,"• Revenue
• Borrowings
• Risk management","• Payments – suppliers, business
Partners
• Investments
(cid:136)(cid:3)(cid:52)(cid:86)(cid:83)(cid:189)(cid:88)(cid:87)(cid:3)
• Taxes
• Dividends
• Retained earnings","• Sound corporate governance
• Ethical business conduct
• Employer of choice
• Quality assurance
(cid:136)(cid:3)(cid:51)(cid:84)(cid:73)(cid:86)(cid:69)(cid:88)(cid:77)(cid:83)(cid:82)(cid:69)(cid:80)(cid:3)(cid:73)(cid:74)(cid:189)(cid:71)(cid:77)(cid:73)(cid:82)(cid:71)(cid:93)
• Sustainable use of resources
• Research and innovation"
,"• Employees welfare
• Employee development and growth","• Remuneration, Staff training &
development and Employee
welfare
• Experience
• Diversity",
,"• Operation of power plants
• Construction of new plants and related
infrastructure","(cid:136)(cid:3)(cid:41)(cid:74)(cid:189)(cid:71)(cid:77)(cid:73)(cid:82)(cid:88)(cid:3)(cid:73)(cid:80)(cid:73)(cid:71)(cid:88)(cid:86)(cid:77)(cid:71)(cid:77)(cid:88)(cid:93)(cid:3)(cid:75)(cid:73)(cid:82)(cid:73)(cid:86)(cid:69)(cid:88)(cid:77)(cid:83)(cid:82)
• Additional megawatts to the
National Grid",
,"• Technology and Systems
• Operating procedures and processes
• Research and development
(cid:136)(cid:3)(cid:40)(cid:77)(cid:90)(cid:73)(cid:86)(cid:87)(cid:77)(cid:189)(cid:71)(cid:69)(cid:88)(cid:77)(cid:83)(cid:82)","• Reliable, Safe and affordable
electricity
• Improved operations
• Technology & technical capacity",
,• Social investment,"• Social investment
• Social licence
• Affordable power
• Best business practices",
,"• Fuels
• Steam
• Electricity and Water","• Sustainable usage
• Carbon Credit Development
Management",
