Name,Category,Salary,"Directors
Fees",Allowances,Honorarium,Telephone,Total
,,Shs’000,Shs’000,Shs’000,Shs ‘000,Shs ‘000,Shs ‘000
Joshua Choge,"Chairman,
Independent &
Non-Executive",-,600,"1,140",960,84,"2,784"
Rebecca Miano,"Managing Director
& CEO","19,801",-,-,-,-,"19,801"
"Ukur Yatani
(CS, The National
Treasury and Planning)",Non-Executive,-,600,-,-,-,600
"Joseph Njoroge
(PS, Ministry of Energy)",Non-Executive,-,600,-,-,,600
Zipporah Ndegwa,"Independent &
Non-Executive",-,600,"1,160",-,,"1,760"
Musa Arusei,"Independent &
Non-Executive",-,600,"1,260",-,,"1,860"
Kairu Bachia,"Independent &
Non-Executive",-,600,"1,180",-,,"1,780"
Joseph Sitati,"Independent &
Non-Executive",-,600,440,-,,"1,040"
Maurice Nduranu,"Independent &
Non-Executive",-,600,"1,140",-,,"1,740"
Phyllis Wakiaga,"Independent &
Non-Executive",-,600,500,-,,"1,100"
"Reginalda
Wanyonyi","Independent &
Non-Executive",-,600,"1,180",-,,"1,780"
"Humphrey Muhu (Al-
ternate to Ukur Yatani)",Non-Executive,-,-,840,-,,840
"William Mbaka (Alter-
nate to Joseph Njoroge)",Non-Executive,-,-,620,-,,620
Total,,"19,801","6,000","9,460",960,84,"36,305"
