Column,168.0 168.0 167.7,Column,Column,Column,Column,Column,Column
,"86.3
84.0",,,,,,
,,,"61.8
58.4 58.4",,,,
,,,34.2,,50.0,,
,Olkaria 1 Unit 6,Olkaria VI,,"Modular
Plants",,"Well Head
Leasing",Olkaria - PPP
Required Steam (MWe),84.0,168.0,,58.4,,50.0,168.0
Proved Steam (MWe),86.3,34.2,,61.8,,58.4,167.7
