No.,Achievement
1,"Partnering with Safaricom Women in Technology,
Institution of Engineers of Kenya Women
Engineers chapter, Kenya Association of
Manufacturing, Women in Manufacturing, the
Brands and Beyond Women in Energy Awards and
Women in Engineering South Africa."
2,Girl for Girl mentoring program
3,Launch of e-mentoring program
4,Gender awareness companywide
5,"Quarterly talks including Cancer Talks, Inspiration,
Financial Empowerment, Legal Clinics, Health,
Wellness and Depression management"
6,"Partnership with the KenGen Foundation in
uplifting the livelihood of women in communities
around our installations including distribution of
Sanitary Towels and purchase of school uniforms
amongst others."
