Column,Name,Attendance
1,Phyllis Wakiaga,4
2,Humphrey Muhu (Alternate Director to CS the National Treasury),10
3,James Opindi,2
4,William Mbaka (Alternate Director to PS Ministry of Energy ),9
5,Rebecca Miano,10
