2024,2023
Shs’000,Shs’000
"666,385","841,092"
"1,298,199","1,319,019"
"2,323,042","2,336,075"
"4,287,626","4,496,186"
"4,153,672","4,358,942"
"133,954","137,244"
"4,287,626","4,496,186"
