PROJECT,"OUTPUT
(MW)",STATUS,COD
"Olkaria 1 Geothermal
Rehabilitation",63.3,Project under Construction ongoing,2026
Turbine Uprating,40,"Procurement of the EPC Contractor
ongoing.",2027
Gogo Redevelopment,8.6,"Procurement of Implementing
Consultant ongoing.",2029
Seven Forks Solar PV,42.5,"Procurement of Implementing
Consultant ongoing.",2027
Wellhead Leasing,58.43,Project under preparation,2027
Olkaria VII Geothermal,80.3,"Feasibility study complete, Securing
of Statutory",2028
"Olkaria II Extension
Geothermal",146,"Feasibility study completed. Securing
of Statutory approval is ongoing.",2028
Marsabit Wind,200,"Feasibility completed. Land acquisition
is ongoing.",2028
Raising Masinga Dam,-,"Feasibility study complete and under
approval.",2029
"Battery Energy Storage
System (BESS)",100,"Procurement of the Feasibility study
consultant is ongoing",2027
Karura Hydro Power,90,"Procurement of the Feasibility study
consultant is ongoing",2027
