Ranking,Risk,Strategic Pillars
1.,Globalization Risk,"I. Delivery of current pipeline Projects and Access to New
Geothermal Fields
II. Optimize future plants CAPEX planning & execution
III. Improve PPAs & Tariff regulations to increase profitability of
future projects."
2.,Market Risk,"I. Delivery of current pipeline Projects and Access to New
Geothermal Fields
II. Optimize future plants CAPEX planning & execution
III. Improve PPAs & Tariff regulations"
3.,Counter Party Risk,"Improving PPAs/tariff regulation to increase profitability of future
projects."
4.,"Cyber Security
Risk","Improving organizational health factors such as leadership and
motivation and building the required skills/capabilities - to ad-
dress all these initiatives"
5.,"Project Execution
Risk","Delivery of current pipeline Projects and Access to New
Geothermal Fields"
6.,"Project Financing
Risk","Pursue new financing approaches (Partnership and asset
monetization)"
7.,"Generation
Resources &
Sustainability Risk","Improving returns of current plants (OPEX) by optimizing and
reducing operations and maintenance expenses."
8.,Regulatory Risk,"Improving PPAs/tariff regulation to increase profitability of future
projects."
9.,"Single Revenue
Stream Risk","Improving PPAs/tariff regulation to increase profitability of future
projects."
10.,"Stakeholder
Management Risk","Delivery of current pipeline Projects and Access to New
Geothermal Fields"
11.,"Leadership &
Governance Risk","Improving organizational health factors such as leadership and
motivation and building the required skills/capabilities to address
all these initiatives"
