"2024
Shs’000","2023
Shs’000"
"426,723,308
2,118,932
6,665,185
4,153,672
-
728,515
2,712,749","432,483,315
2,256,114
6,579,750
4,358,942
5,347,560
17,816,799
1,861,357"
"443,102,361","470,703,837"
"2,136,284
16,629,593
195,667
133,954
895,818
3,027,582
321,154
24,850,342","1,848,446
21,448,878
441,713
137,244
2,236,554
4,441,700
320,422
14,998,431"
"48,190,394","45,873,388"
"491,292,755","516,577,225"
"16,487,710
22,151,131
118,730,184
120,736,895","16,487,710
22,151,131
122,361,165
113,193,447"
"278,105,920","274,193,453"
"107,748,716
84,531,405
891,499
1,228,401","137,042,085
81,629,986
691,876
833,351"
"194,400,021","220,197,298"
"10,035,376
8,579,311
172,127
-","12,809,721
8,293,841
159,826
923,086"
"18,786,814","22,186,474"
"491,292,755","516,577,225"
