FINANCIAL COVENANT,THRESHOLD,CURRENT,COMPLIANCE
Leverage ratio,<2.3 (70%),25%,YES
Current ratio,>1.2,2.57,YES
Debt Service Cover Ratio,>1.3,3.08,YES
"Self-Financing Ratio
(minimum contribution by
KenGen to project costs)",>25%,118%,YES
