Column,Name,Attendance
1.,Kairu Bachia,5
2.,Humphrey Muhu (Alternate to Henry Rotich),5
3.,Joseph Sitati,2
4.,William Mbaka,3
5.,Rebecca Miano,4
(cid:26)(cid:18),Dorcas Kombo,
7.,Albert Mugo,
