No.,Name,Attendance
1.,Dr. Rosemarie Wanyoike (Chair),5
2.,Ms. Winnie Pertet,7
3.,Mr. William Rahedi,5
4.,Mr. Samuel Kimani,7
5.,Mr. Abraham Serem,6
