Range,"Number of
Shareholders",Number of Shares,% Shareholding
1 - 500,"81,534","19,620,337",0.30
"501 - 1,000","34,549","27,512,373",0.42
"1,001 - 5,000","49,421","110,142,314",1.67
"5,001 - 10,000","16,827","113,179,033",1.72
"10,001 - 50,000","6,622","132,241,683",2.01
"50,001 - 100,000",685,"48,003,622",0.73
"100,001 - 500,000",447,"89,321,929",1.35
"500,001 - 1,000,000",76,"53,276,889",0.81
"Above 1,000,000",103,"6,001,224,159",91.00
Total,"190,264","6,594,522,339",100.00
