PRINCIPLE,WHAT WE ACHIEVED
Digitization,"Digitized purchase Order processes, for enhanced eliciency and
transparency."
Benchmarking,"Benchmarked with peers and adopted global, sustainable supply
chain practices."
Compliance,"Complied with Public Procurement Asset and Disposal Act 2015 and
other relevant laws in procurement of goods, works and services.
chain practices."
Capacity Building,"Conducted integrity awareness session for top management and
employees across the business in collaboration with Ethics &
Anti-Corruption Commission (EACC) and Kenya Institute of Supplies
Management (KISM)."
Framework Contracts,"Entered into framework contracts for acquisition of goods works and
services."
Value for Money,"Endeavoured to procure goods, works and services at prices that
reflect their fair value,."
Supplier Sensitization &,"Held townhall meetings with suppliers and AGPO supplier’s country
wide"
"Stakeholder
Management","Implemented supplier feedback platform to compliment Karibu
Centre for better customer experience."
Optimizing Inventory,"Deployed technology for storing and tracking inventory through
automated binning system"
