"Membership
The Governance Advisory Committee comprises of four (4) members of the Board with four (4)
Independent & Non-Executive Directors and one Executive Director.
Attendance",Column,Column
No.,NAME,ATTENDANCE
1.,Hon. Stephen Mutai (Chair),5
2.,Ms. Josephine Koisaba,5
3.,CPA Bernard Ngugi,5
4.,Hon. Rehema Hassan,2
5.,Eng. Peter Njenga,5
