Abraham Serem,"Ag. Managing
Director and CEO
(Served until on 17th
August 2023)","2,621",-,-,-,-,"2,621"
Peter Njenga,"Managing Director
and CEO (Appointed
on 17th, August
2023)","12,021",-,-,-,-,"12,021"
Total,,"14,642",-,-,-,-,"14,642"
