"10,481,077","6,797,012"
"(121,142)
36,343
421,372
(126,412)","(912,714)
273,814
(382,572)
114,772"
"210,161","(906,700)"
"52,562
(15,769)","732
(220)"
"36,793",512
"246,954","(906,188)"
"10,728,031","5,890,824"
