Assets,Level 1,Level 2,Level 3,Total
,Shs’000,Shs’000,Shs’000,Shs’000
,-,"321,154",-,"321,154"
,-,"1,624,333",-,"1,624,333"
,-,"1,945,487",-,"1,945,487"
,-,"320,422",-,"320,422"
,-,"20,053,353",-,"20,053,353"
,-,"20,373,775",-,"20,373,775"
