12.45%,15.26%
8%,8%
"3%
0%","3%
0%"
"A(52) males/Female
Ultimate","A(55) males/Female
Ultimate"
N/A,N/A
"At rates consistent
with similar
arrangements","At rates consistent with
similar arrangements"
"At rates consistent
with similar
arrangements","At rates consistent with
similar arrangements"
60 years,60 years
