Year ended 30 June 2024,Column,Column,Column,Column
Property plant and equipment,-,-,"359,864,787","359,864,787"
Intangible assets,,,"1,933,313","1,933,313"
Leasehold land,,,"5,767,239","5,767,239"
Total assets,-,-,"367,565,339","367,565,339"
