Level 1,Level 2,Level 3,Fair value,"Carrying
value"
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"24,850,342",-,-,"24,850,342","24,850,342"
"2,712,749",-,-,"2,712,749","2,712,749"
-,-,"1,964,585","1,964,585","1,964,585"
-,-,"16,629,593","16,629,593","16,629,593"
-,"2,323,042",-,"2,323,042","2,323,042"
-,-,"3,027,582","3,027,582","3,027,582"
"27,563,091","2,323,042","21,621,760","51,507,893","51,507,893"
-,-,"6,413,348","6,413,348","6,413,348"
-,-,"117,784,092","117,784,092","117,784,092"
-,-,"124,197,440","124,197,440","124,197,440"
