2023,2022
Shs’000,Shs’000
"7,953,871","8,141,433"
"1,106,927","1,069,063"
"897,281","725,588"
"11,241","12,994"
"(736,489)","(1,049,887)"
"(889,253)","(945,320)"
"8,343,578","7,953,871"
