"Retention to support future
Business Growth:",Column,Column,Column,Column,Column,Column
Retained Earnings,"6,236",17.3%,"16,399",41.1%,(790),-1.9%
Depreciation and Amortization,"10,360",28.8%,"12,030",30.2%,"11,520",27.3%
Suppliers and other expenses,"7,029",19.6%,"6,756",16.9%,"7,933",18.8%
Corporate Social Responsibility,98,0.3%,207,0.5%,287,0.7%
Wealth Distributed,"35,941",100%,"39,863",100%,"42,187",100%
