Name,Category,Salary,"Directors
Fees",Allowances,Honorarium,Total
,,Shs'000,Shs'000,Shs'000,Shs '000,Shs '000
Joshua Choge,"Chairman,
Non-Executive",-,(cid:26)(cid:20)(cid:20),"1,540",(cid:29)(cid:26)(cid:20),"3,100"
"Albert Mugo
(Retired on 25 August
2017)","Managing
Director and
CEO","3,479",-,-,-,"3,479"
"Rebecca Miano
(Appointed on 30
October 2017)","Managing
Director and
CEO",(cid:21)(cid:21)(cid:16)(cid:22)(cid:26)(cid:27),-,-,-,(cid:21)(cid:21)(cid:16)(cid:22)(cid:26)(cid:27)
"Henry Rotich
(CS, The National
Treasury and Planning)",Non-Executive,-,(cid:26)(cid:20)(cid:20),-,-,(cid:26)(cid:20)(cid:20)
"Joseph Njoroge (PS,
Ministry of Energy)",Non-Executive,-,(cid:26)(cid:20)(cid:20),-,-,(cid:26)(cid:20)(cid:20)
"Dorcas Kombo (Retired
on 22 November 2017)",Non-Executive,-,238,940,-,"1,178"
Ziporah Ndegwa,Non-Executive,-,(cid:26)(cid:20)(cid:20),(cid:21)(cid:16)(cid:23)(cid:26)(cid:20),-,(cid:21)(cid:16)(cid:29)(cid:26)(cid:20)
Musa Arusei,Non-Executive,-,(cid:26)(cid:20)(cid:20),(cid:21)(cid:16)(cid:29)(cid:26)(cid:20),-,(cid:22)(cid:16)(cid:25)(cid:26)(cid:20)
Kairu Bachia,Non-Executive,-,(cid:26)(cid:20)(cid:20),"1,800",-,"2,400"
Joseph Sitati,Non-Executive,-,(cid:26)(cid:20)(cid:20),"1,580",-,"2,180"
Maurice Nduranu,Non-Executive,-,(cid:26)(cid:20)(cid:20),920,-,"1,520"
Phyllis Wakiaga,Non-Executive,-,(cid:26)(cid:20)(cid:20),700,-,"1,300"
"Reginalda Wanyonyi
(Appointed on 22
November 2017)",Non-Executive,-,(cid:23)(cid:26)(cid:22),"1,120",-,"1,482"
"Humphrey Muhu
(Alternate to Henry
Rotich)",Non-Executive,-,-,"1,420",-,"1,420"
"William Mbaka
(Alternate to Joseph
Njoroge)",Non-Executive,-,-,"1,340",-,"1,340"
Total,,"14,746","6,000","14,680",960,"36,386"
