Investor Pools,No. of Shareholders,Shares,% Shareholding
Local Institutions,"7,949","5,073,356,707",76.93
Local Individuals,"181,250","632,273,555",9.59
Foreign Investors,948,"888,892,077",13.48
Total,"190,147","6,594,522,339",100.00
